,open,high,low,close,volume
2024-09-11,499.45,518.0,493.25,506.05,501918
2024-09-12,507.8,549.25,502.15,535.15,858287
2024-09-13,541.95,548.8,526.7,541.2,436522
2024-09-16,549.0,549.0,530.2,535.4,335569
2024-09-17,538.8,538.9,519.1,524.9,395364
2024-09-18,527.8,534.0,520.9,524.95,399300
2024-09-19,524.15,531.4,512.0,521.0,295391
2024-09-20,527.8,542.0,521.1,538.55,331169
2024-09-23,542.0,573.5,536.05,558.2,600186
2024-09-24,564.85,577.0,556.1,561.2,266921
2024-09-25,565.0,568.8,541.55,556.05,263155
2024-09-26,556.2,559.8,542.5,552.5,163485
2024-09-27,555.0,573.0,546.45,570.25,361885
2024-09-30,570.25,572.0,554.3,568.1,250031
2024-10-01,569.75,580.0,565.55,577.9,354572
2024-10-03,579.8,599.9,560.0,564.95,590824
2024-10-04,561.0,579.95,550.5,563.25,683754
2024-10-07,564.9,567.4,520.3,545.35,441348
2024-10-08,543.0,561.95,536.15,554.6,160618
2024-10-09,558.95,569.0,556.65,561.6,122674
2024-10-10,564.0,584.95,556.05,577.8,516134
2024-10-11,577.8,624.8,571.15,618.5,698777
2024-10-14,619.95,626.45,603.55,609.55,259991
2024-10-15,610.1,632.0,599.6,627.6,250293
2024-10-16,625.0,637.05,611.1,617.65,161752
2024-10-17,617.05,619.85,584.0,591.15,183213
2024-10-18,588.15,602.95,576.0,596.85,117602
2024-10-21,592.0,603.85,569.95,576.2,147802
2024-10-22,581.9,581.9,541.05,548.4,159789
2024-10-23,550.0,563.95,545.05,558.7,169312
2024-10-24,558.7,559.9,541.55,545.0,84911
2024-10-25,545.1,547.95,511.0,530.45,216622
2024-10-28,537.0,542.85,523.25,532.0,88532
2024-10-29,536.95,543.45,529.05,540.05,107152
2024-10-30,534.05,573.45,534.05,567.95,107163
2024-10-31,560.5,572.0,560.0,565.9,51595
2024-11-01,565.9,574.5,562.85,571.1,18970
2024-11-04,573.65,578.6,547.25,554.9,176587
2024-11-05,553.9,580.5,547.4,553.5,346174
2024-11-06,555.9,626.0,554.45,592.45,1110507
2024-11-07,599.4,644.0,596.45,633.9,1922346
2024-11-08,638.0,643.3,593.0,601.6,457280
2024-11-11,603.0,626.4,582.6,595.1,490226
2024-11-12,593.0,608.85,580.0,589.85,221321
2024-11-13,588.95,589.7,555.6,563.2,312937
2024-11-14,563.0,599.95,563.0,594.8,255749
2024-11-18,587.6,598.35,584.6,590.2,150929
2024-11-19,595.0,603.4,555.8,576.3,151741
2024-11-21,580.0,589.0,560.1,567.7,383062
2024-11-22,565.1,570.9,556.25,557.7,220863
2024-11-25,563.1,569.7,556.1,559.4,3278231
2024-11-26,568.0,587.9,558.05,584.6,296464
2024-11-27,585.0,599.0,578.45,593.55,372957
2024-11-28,600.0,612.95,587.5,603.45,409430
2024-11-29,601.1,617.5,596.5,610.5,250495
2024-12-02,615.0,631.8,608.55,617.75,182989
2024-12-03,622.6,629.95,612.8,621.2,161391
2024-12-04,624.85,643.9,620.05,631.7,401196
2024-12-05,638.4,639.0,613.7,621.45,258802
2024-12-06,626.4,648.0,622.0,625.6,595412
2024-12-09,629.9,629.9,602.05,605.9,189133
2024-12-10,606.0,614.0,598.45,605.95,221258
2024-12-11,610.0,637.0,610.0,615.85,306387
2024-12-12,618.2,618.2,602.65,606.15,141009
2024-12-13,602.0,614.0,590.2,598.35,163959
2024-12-16,598.35,603.4,590.0,597.95,99159
