,open,high,low,close,volume
2024-10-22,751.1,788.5,690.2,731.2,42390
2024-10-23,731.2,744.5,711.0,735.8,16501
2024-10-24,743.0,755.55,689.8,706.8,30662
2024-10-27,721.0,732.6,671.0,705.2,20505
2024-10-28,705.2,758.8,666.0,708.05,28403
2024-10-29,711.4,725.0,684.45,707.8,22834
2024-10-30,720.0,723.0,670.5,693.0,24032
2024-10-31,718.0,720.0,701.25,713.7,13926
2024-11-03,720.05,740.0,661.05,705.65,43362
2024-11-04,710.0,711.0,691.45,705.55,15688
2024-11-05,715.3,725.0,679.1,711.1,20163
2024-11-06,725.0,734.95,694.0,698.6,15470
2024-11-07,704.95,704.95,684.75,691.9,14659
2024-11-10,635.0,729.95,596.15,681.5,222021
2024-11-11,682.0,693.95,649.1,655.95,23624
2024-11-12,655.95,662.95,611.95,641.4,29885
2024-11-13,648.0,667.0,634.55,662.0,11217
2024-11-17,683.3,683.3,641.1,655.2,14149
2024-11-18,650.0,679.9,637.2,643.5,20204
2024-11-20,648.3,653.3,631.0,638.6,10037
2024-11-21,648.3,654.3,630.5,641.45,13808
2024-11-24,659.95,659.95,638.15,639.95,11262
2024-11-25,646.2,648.45,634.05,643.55,7436
2024-11-26,644.15,651.0,636.75,644.55,12153
2024-11-27,659.8,665.75,634.0,643.55,14857
2024-11-28,643.55,648.3,634.65,640.9,10140
2024-12-01,645.7,657.7,631.1,637.95,8771
2024-12-02,642.7,678.45,642.7,647.85,25748
2024-12-03,657.4,657.45,635.45,640.0,19128
2024-12-04,633.7,645.0,631.1,638.9,11486
2024-12-05,639.45,641.8,626.0,634.4,46152
2024-12-08,630.1,644.0,630.1,638.7,8893
2024-12-09,635.0,648.0,626.1,639.7,32801
2024-12-10,640.0,651.6,640.0,648.45,11475
2024-12-11,645.1,646.8,624.05,640.25,21620
2024-12-12,640.05,650.1,630.0,646.55,14057
2024-12-15,645.8,690.95,642.5,654.65,37561
